iter	MultiClassOneVsAll
0	0.6913349588
1	0.6899519372
2	0.68864536
3	0.6868163961
4	0.6851448612
5	0.6836244077
6	0.6815849591
7	0.6799911043
8	0.6783443437
9	0.6767074895
10	0.6750099059
11	0.673200233
12	0.6713142038
13	0.669951969
14	0.6681987846
15	0.6663290965
16	0.6648883226
17	0.6634387011
18	0.6618372635
19	0.6601047826
20	0.658468537
21	0.6572880148
22	0.6560630897
23	0.6549074304
24	0.653203218
25	0.6516286481
26	0.650224584
27	0.6488188273
28	0.6474671858
29	0.6461568336
30	0.6447266187
31	0.6428821752
32	0.6413299375
33	0.6397551254
34	0.6381981562
35	0.6368510795
36	0.635514089
37	0.6341574676
38	0.632763215
39	0.6315013603
40	0.6298373804
41	0.6286588317
42	0.6275357636
43	0.6259380541
44	0.6247147355
45	0.6234444291
46	0.6220388935
47	0.6208369288
48	0.6194882904
49	0.6184168675
50	0.6166229743
51	0.6155782138
52	0.6143655055
53	0.6131816142
54	0.61168667
55	0.6105731521
56	0.6093567474
57	0.6082365125
58	0.6068177431
59	0.605560769
60	0.6045706914
61	0.6033687695
62	0.6025541098
63	0.6012176009
64	0.6002840586
65	0.5991136939
66	0.5979791353
67	0.5968979153
68	0.5957945528
69	0.5947546278
70	0.5936490352
71	0.5927371787
72	0.5914488608
73	0.5905302257
74	0.5894626537
75	0.5884287903
76	0.5873488053
77	0.5862293495
78	0.5852005331
79	0.5844258474
80	0.5833914803
81	0.582309921
82	0.5810453386
83	0.5799106067
84	0.5789002797
85	0.577677496
86	0.5766436987
87	0.5758039924
88	0.5750258785
89	0.5740376609
90	0.5731520815
91	0.5723493342
92	0.5713222256
93	0.5703355082
94	0.5691386105
95	0.568266275
96	0.5674630345
97	0.5666742571
98	0.5656390285
99	0.5647101416
100	0.5637402802
101	0.5627137788
102	0.5616442008
103	0.5605815557
104	0.5597890751
105	0.5589705057
106	0.5580643699
107	0.5570172942
108	0.5558935623
109	0.5547972207
110	0.5538697305
111	0.5527667492
112	0.5518394796
113	0.5510561051
114	0.5502676473
115	0.5495184565
116	0.5487307027
117	0.5477097873
118	0.5470481202
119	0.5462838891
120	0.545531633
121	0.5448072478
122	0.544057037
123	0.5431991496
124	0.5424995723
125	0.5416098868
126	0.5407646755
127	0.539946638
128	0.5391879286
129	0.5383828976
130	0.5377320255
131	0.5370411871
132	0.5363346142
133	0.5354422809
134	0.5347454007
135	0.533859677
136	0.5327903892
137	0.5319608851
138	0.531148739
139	0.530417575
140	0.5297788891
141	0.5289535595
142	0.5281646088
143	0.5275306508
144	0.5267279234
145	0.5258142515
146	0.5249063464
147	0.5241933728
148	0.5232765921
149	0.522619545
150	0.5219407178
151	0.5210153313
152	0.5201454814
153	0.5194575021
154	0.518674694
155	0.5178131026
156	0.5172273337
157	0.5164747313
158	0.515814289
