iter	Passed	Remaining
0	57	57665
1	102	51273
2	147	48883
3	191	47704
4	235	46961
5	280	46539
6	325	46171
7	371	46050
8	416	45818
9	461	45657
10	505	45477
11	550	45353
12	595	45184
13	639	45034
14	684	44919
15	728	44782
16	772	44692
17	817	44580
18	863	44558
19	907	44452
20	951	44373
21	996	44293
22	1040	44208
23	1085	44142
24	1129	44054
25	1174	43987
26	1219	43937
27	1263	43870
28	1309	43839
29	1354	43807
30	1400	43764
31	1444	43701
32	1490	43682
33	1536	43647
34	1581	43602
35	1625	43536
36	1670	43475
37	1715	43436
38	1760	43372
39	1804	43312
40	1850	43274
41	1895	43225
42	1941	43201
43	1985	43136
44	2029	43071
45	2074	43013
46	2118	42953
47	2162	42891
48	2206	42828
49	2251	42772
50	2296	42732
51	2340	42674
52	2386	42646
53	2432	42617
54	2477	42572
55	2522	42518
56	2567	42470
57	2611	42414
58	2656	42366
59	2701	42328
60	2746	42284
61	2792	42246
62	2838	42218
63	2883	42165
64	2927	42108
65	2972	42061
66	3016	42008
67	3062	41970
68	3108	41940
69	3153	41898
70	3198	41845
71	3243	41799
72	3287	41747
73	3332	41700
74	3377	41653
75	3421	41599
76	3466	41557
77	3512	41524
78	3557	41478
79	3602	41430
80	3647	41379
81	3691	41327
82	3737	41293
83	3782	41245
84	3826	41192
85	3872	41161
86	3918	41117
87	3962	41069
88	4006	41015
89	4051	40966
90	4095	40912
91	4140	40867
92	4185	40818
93	4229	40767
94	4274	40723
95	4323	40715
96	4368	40665
97	4422	40700
98	4467	40655
99	4521	40692
100	4565	40638
101	4610	40592
102	4655	40542
103	4700	40495
104	4745	40446
105	4789	40396
106	4834	40344
107	4878	40289
108	4923	40244
109	4968	40198
110	5013	40150
111	5058	40103
112	5102	40053
113	5147	40006
114	5192	39957
115	5237	39915
116	5282	39865
117	5326	39815
118	5371	39767
119	5417	39727
120	5462	39680
121	5507	39633
122	5551	39584
123	5596	39536
124	5640	39484
125	5685	39434
126	5729	39384
127	5773	39331
128	5818	39283
129	5863	39240
130	5908	39194
131	5952	39143
132	5997	39094
133	6041	39046
134	6086	38999
135	6131	38956
136	6176	38907
137	6221	38862
138	6266	38815
139	6310	38763
140	6355	38717
141	6400	38671
142	6444	38621
143	6490	38583
144	6535	38537
145	6581	38494
146	6625	38447
147	6670	38400
148	6715	38352
149	6759	38305
150	6804	38257
151	6850	38221
152	6896	38178
153	6941	38132
154	6985	38083
155	7030	38035
156	7074	37987
157	7119	37939
158	7163	37890
159	7208	37846
160	7253	37800
161	7298	37755
162	7350	37742
163	7396	37705
164	7441	37656
165	7485	37609
166	7530	37562
167	7575	37515
168	7619	37466
169	7664	37418
170	7708	37371
171	7753	37326
172	7798	37281
173	7843	37233
174	7888	37187
175	7932	37136
176	7976	37090
177	8021	37043
178	8066	36997
179	8111	36951
180	8155	36904
181	8201	36859
182	8246	36818
183	8290	36768
184	8338	36736
185	8383	36688
186	8428	36643
187	8474	36600
188	8520	36559
189	8565	36515
190	8610	36470
191	8655	36423
192	8700	36379
193	8745	36334
194	8790	36288
195	8835	36244
196	8880	36197
197	8925	36152
198	8970	36107
199	9015	36061
200	9059	36012
201	9104	35967
202	9150	35925
203	9194	35878
204	9238	35828
205	9283	35781
206	9332	35752
207	9378	35709
208	9423	35665
209	9468	35618
210	9513	35573
211	9558	35527
212	9602	35481
213	9647	35434
214	9694	35395
215	9740	35355
216	9786	35311
217	9830	35263
218	9875	35219
219	9922	35178
220	9966	35131
221	10011	35083
222	10070	35089
223	10121	35065
224	10166	35017
225	10210	34969
226	10255	34924
227	10300	34877
228	10345	34832
229	10390	34785
230	10435	34739
231	10479	34691
232	10523	34641
233	10569	34598
234	10615	34556
235	10659	34506
236	10703	34459
237	10748	34412
238	10793	34367
239	10838	34320
240	10882	34273
241	10927	34228
242	10972	34181
243	11018	34138
244	11062	34091
245	11107	34044
246	11151	33997
247	11196	33951
248	11241	33906
249	11289	33867
250	11334	33822
251	11379	33775
252	11423	33729
253	11470	33689
254	11515	33642
255	11560	33596
256	11605	33552
257	11650	33506
258	11695	33460
259	11739	33412
260	11785	33369
261	11833	33332
262	11880	33291
263	11933	33268
264	11977	33220
265	12022	33174
266	12066	33127
267	12110	33078
268	12155	33031
269	12199	32984
270	12245	32939
271	12289	32891
272	12333	32843
273	12378	32797
274	12423	32752
275	12468	32706
276	12513	32660
277	12558	32614
278	12602	32568
279	12647	32520
280	12693	32478
281	12738	32432
282	12783	32386
283	12828	32341
284	12873	32296
285	12918	32250
286	12963	32205
287	13008	32158
288	13052	32112
289	13098	32067
290	13142	32020
291	13187	31974
292	13231	31927
293	13275	31879
294	13320	31833
295	13364	31786
296	13409	31740
297	13454	31695
298	13499	31649
299	13544	31604
300	13590	31560
301	13634	31513
302	13679	31467
303	13724	31420
304	13768	31374
305	13814	31330
306	13859	31286
307	13904	31239
308	13949	31194
309	13998	31158
310	14043	31112
311	14087	31065
312	14132	31018
313	14177	30974
314	14223	30931
315	14271	30890
316	14315	30844
317	14361	30799
318	14405	30753
319	14450	30707
320	14496	30663
321	14541	30618
322	14585	30571
323	14631	30527
324	14676	30481
325	14720	30434
326	14765	30388
327	14810	30342
328	14855	30298
329	14903	30258
330	14948	30213
331	14994	30168
332	15038	30122
333	15083	30077
334	15128	30031
335	15172	29984
336	15217	29938
337	15262	29893
338	15307	29847
339	15352	29802
340	15397	29756
341	15441	29709
342	15486	29663
343	15531	29617
344	15575	29571
345	15620	29525
346	15665	29480
347	15710	29434
348	15755	29389
349	15800	29344
350	15845	29298
351	15890	29252
352	15934	29206
353	15979	29160
354	16024	29114
355	16068	29068
356	16112	29021
357	16157	28974
358	16202	28929
359	16247	28884
360	16292	28838
361	16337	28793
362	16384	28751
363	16429	28705
364	16473	28659
365	16519	28615
366	16563	28568
367	16608	28522
368	16653	28478
369	16698	28432
370	16743	28387
371	16788	28342
372	16832	28295
373	16877	28249
374	16922	28203
375	16967	28158
376	17012	28112
377	17057	28068
378	17101	28021
379	17146	27976
380	17191	27930
381	17235	27884
382	17281	27839
383	17325	27793
384	17371	27748
385	17417	27705
386	17463	27661
387	17507	27614
388	17551	27567
389	17595	27521
390	17640	27475
391	17685	27430
392	17729	27384
393	17773	27337
394	17819	27292
395	17864	27248
396	17909	27202
397	17955	27158
398	18000	27114
399	18046	27069
400	18092	27025
401	18137	26980
402	18181	26933
403	18226	26888
404	18270	26842
405	18315	26796
406	18359	26750
407	18404	26704
408	18448	26658
409	18493	26612
410	18539	26568
411	18584	26523
412	18628	26477
413	18673	26432
414	18719	26387
415	18763	26340
416	18809	26296
417	18854	26252
418	18898	26205
419	18944	26161
420	18989	26115
421	19034	26070
422	19078	26024
423	19123	25978
424	19167	25932
425	19212	25887
426	19257	25841
427	19301	25795
428	19347	25751
429	19392	25705
430	19437	25661
431	19482	25615
432	19526	25569
433	19572	25525
434	19621	25485
435	19667	25441
436	19711	25395
437	19756	25350
438	19801	25304
439	19846	25259
440	19891	25213
441	19936	25168
442	19981	25123
443	20025	25077
444	20069	25030
