iter	MultiClassOneVsAll
0	0.6914829247
1	0.6897632639
2	0.6884160258
3	0.6869441282
4	0.6853728404
5	0.6838104282
6	0.6821632659
7	0.6805573396
8	0.6789576289
9	0.6772823628
10	0.6755629533
11	0.6743426569
12	0.6729600332
13	0.6713228053
14	0.6698473548
15	0.6682910002
16	0.6665315796
17	0.6650137709
18	0.663315453
19	0.6617192735
20	0.6603468136
21	0.658916049
22	0.6572220866
23	0.6557508401
24	0.6544552859
25	0.6529023733
26	0.6513215801
27	0.6499102932
28	0.6483799894
29	0.6470049672
30	0.6451931973
31	0.6438103852
32	0.6427019315
33	0.6415606323
34	0.6403124789
35	0.6388253484
36	0.6371944284
37	0.6359610794
38	0.6346957868
39	0.6330238544
40	0.6318495765
41	0.6306163436
42	0.6293744589
43	0.6280708354
44	0.6266019562
45	0.6252651406
46	0.623997423
47	0.6225074958
48	0.6211385902
49	0.6199644223
50	0.6185239366
51	0.617432588
52	0.6164157659
53	0.6151748932
54	0.6139011604
55	0.612604561
56	0.6111683415
57	0.6098872939
58	0.6087659424
59	0.6072911641
60	0.6060854447
61	0.6051419977
62	0.6041373369
63	0.6028334942
64	0.6017994938
65	0.6006835233
66	0.599417852
67	0.5983073708
68	0.5970500173
69	0.5959569609
70	0.5950136196
71	0.5938188418
72	0.5920953288
73	0.590936884
74	0.5898869037
75	0.5888091664
76	0.5878505188
77	0.5869571626
78	0.5857593586
79	0.5846650011
80	0.5835583073
81	0.5825190938
82	0.5817039623
83	0.5805746136
84	0.5796651328
85	0.5783872771
86	0.5775814583
87	0.5768351788
88	0.5758838759
89	0.5749585653
90	0.5740703425
91	0.5731084435
92	0.5719987299
93	0.5709958593
94	0.5697909151
95	0.5689029517
96	0.5679031317
97	0.5669539974
98	0.5661614625
99	0.5650565967
100	0.5641729315
101	0.5632240879
102	0.5625415616
103	0.5613572468
104	0.5606178407
105	0.5597967481
106	0.5589876336
107	0.5578667243
108	0.5569869107
109	0.555953768
110	0.5551514194
111	0.5542467195
112	0.553310299
113	0.552381405
114	0.5515700454
115	0.5505750685
116	0.5497484744
117	0.5487630382
118	0.5480414229
119	0.5473238717
