iter	Passed	Remaining
0	78	78395
1	124	61995
2	171	56900
3	217	54218
4	264	52612
5	310	51496
6	357	50748
7	407	50532
8	455	50132
9	501	49697
10	548	49348
11	595	49027
12	642	48767
13	688	48520
14	735	48291
15	781	48073
16	827	47869
17	874	47731
18	922	47618
19	968	47475
20	1016	47365
21	1062	47238
22	1110	47164
23	1156	47026
24	1202	46912
25	1249	46818
26	1296	46720
27	1342	46612
28	1389	46536
29	1437	46483
30	1486	46475
31	1544	46712
32	1590	46611
33	1637	46519
34	1684	46438
35	1730	46341
36	1777	46264
37	1824	46187
38	1870	46084
39	1916	45988
40	1962	45898
41	2009	45831
42	2057	45793
43	2104	45721
44	2150	45633
45	2197	45566
46	2244	45503
47	2291	45438
48	2337	45358
49	2383	45291
50	2429	45212
51	2490	45410
52	2536	45326
53	2583	45261
54	2630	45196
55	2677	45137
56	2724	45070
57	2771	45016
58	2818	44946
59	2864	44874
60	2911	44811
61	2957	44744
62	3004	44679
63	3052	44637
64	3098	44573
65	3145	44513
66	3172	44180
67	3218	44113
68	3265	44055
69	3311	44000
70	3358	43946
71	3405	43895
72	3452	43839
73	3499	43787
74	3545	43732
75	3592	43680
76	3638	43618
77	3685	43565
78	3736	43557
79	3782	43496
80	3828	43439
81	3875	43382
82	3922	43332
83	3968	43279
84	4015	43227
85	4062	43175
86	4109	43128
87	4156	43072
88	4201	43011
89	4248	42956
90	4295	42909
91	4342	42855
92	4389	42807
93	4435	42754
94	4482	42702
95	4528	42646
96	4574	42589
97	4621	42536
98	4667	42483
99	4714	42429
100	4760	42372
101	4806	42314
102	4854	42277
103	4900	42222
104	4947	42169
105	4994	42122
106	5041	42072
107	5087	42018
108	5134	41968
109	5180	41917
110	5228	41872
111	5280	41870
112	5327	41818
113	5373	41759
114	5421	41723
115	5477	41743
116	5524	41693
117	5571	41643
118	5618	41592
119	5664	41536
120	5710	41483
121	5756	41431
122	5803	41377
123	5849	41320
124	5896	41275
125	5942	41222
126	5992	41190
127	6039	41142
128	6085	41089
129	6134	41055
130	6182	41012
131	6229	40962
132	6276	40913
133	6323	40864
134	6370	40815
135	6417	40772
136	6465	40726
137	6512	40676
138	6559	40631
139	6606	40583
140	6652	40530
141	6699	40479
142	6745	40426
143	6791	40373
144	6838	40321
145	6884	40272
146	6932	40225
147	6978	40175
148	7025	40124
149	7072	40077
150	7120	40033
151	7167	39988
152	7213	39934
153	7259	39882
154	7306	39830
155	7353	39781
156	7399	39733
157	7446	39680
158	7492	39629
159	7539	39580
160	7585	39529
161	7631	39478
162	7677	39424
163	7723	39372
164	7770	39324
165	7816	39271
166	7863	39222
167	7910	39174
168	7957	39129
169	7985	38989
170	8032	38942
171	8079	38894
172	8125	38843
173	8173	38798
174	8220	38752
175	8266	38703
176	8312	38652
177	8359	38603
178	8406	38555
179	8452	38506
180	8498	38456
181	8545	38406
182	8592	38359
183	8639	38315
184	8687	38270
185	8733	38222
186	8780	38174
187	8826	38125
188	8873	38075
189	8920	38029
190	8967	37981
191	9013	37932
192	9065	37904
193	9112	37857
194	9158	37809
195	9205	37762
196	9252	37716
197	9300	37670
198	9346	37620
199	9393	37572
200	9440	37525
201	9486	37476
202	9534	37434
203	9581	37387
204	9628	37338
205	9674	37287
206	9720	37237
207	9766	37189
208	9813	37140
209	9860	37095
210	9907	37047
211	9966	37044
212	10015	37005
213	10061	36956
214	10109	36909
215	10155	36859
216	10202	36812
217	10249	36767
218	10296	36719
219	10342	36669
220	10389	36622
221	10436	36574
222	10483	36527
223	10529	36476
224	10575	36427
225	10622	36379
226	10668	36330
