iter	MultiClassOneVsAll
0	0.6913141044
1	0.6895635408
2	0.6878682087
3	0.6862383527
4	0.6840595567
5	0.681935184
6	0.680361942
7	0.678938646
8	0.6770056589
9	0.6749877068
10	0.673173362
11	0.6711415844
12	0.6692984706
13	0.6674759238
14	0.6658073696
15	0.6638971232
16	0.6624511113
17	0.6605328065
18	0.6587945046
19	0.6569864352
20	0.6554417607
21	0.6537363692
22	0.6522905466
23	0.6508408179
24	0.649369527
25	0.6476169109
26	0.6461735021
27	0.6446151131
28	0.6431895133
29	0.6419616767
30	0.6404305139
31	0.63907319
32	0.6376134667
33	0.6360450971
34	0.634736637
35	0.6326940575
36	0.6313462544
37	0.6299776603
38	0.6287819094
39	0.6277691279
40	0.6264359521
41	0.6254721078
42	0.6242406578
43	0.6228661824
44	0.6214615694
45	0.6202051389
46	0.6188980049
47	0.617667869
48	0.6163884145
49	0.6151600523
50	0.6138290051
51	0.6125507974
52	0.6113386334
53	0.6102563063
54	0.609195212
55	0.6081117698
56	0.6070129284
57	0.6056678273
58	0.6043737289
59	0.6030416405
60	0.6017620761
61	0.6005945526
62	0.5995001555
63	0.5984183455
64	0.5973284954
65	0.5962190748
66	0.5949397656
67	0.5936834182
68	0.5926958273
69	0.5915234384
70	0.5903871102
71	0.5891663962
72	0.5878158607
73	0.5865213599
74	0.5852855906
75	0.5841731794
76	0.5831429422
77	0.582075325
78	0.5808562125
79	0.5797224062
80	0.5785814057
81	0.5776240894
82	0.5766093345
83	0.5756177906
84	0.5746739726
85	0.5737514787
86	0.5729561209
87	0.572025896
88	0.5711073898
89	0.5698134097
90	0.5688768314
91	0.5677545534
92	0.5667108269
93	0.5657407602
94	0.5648239475
95	0.5639705428
96	0.5631425539
97	0.5621270183
98	0.5611587623
99	0.5602344666
100	0.5593995754
101	0.5585258565
102	0.5577631994
103	0.5566274773
104	0.5558520813
105	0.5549832494
106	0.5539599822
107	0.5528388576
108	0.5520846348
109	0.5511947943
110	0.5503598462
111	0.5495300698
112	0.5487290014
113	0.5478456641
114	0.5466828148
115	0.5458528102
116	0.5450373659
