iter	Passed	Remaining
399	31555	47332
400	31631	47250
401	31707	47166
402	31783	47083
403	31859	46999
404	31942	46927
405	32018	46844
406	32094	46761
407	32181	46694
408	32257	46611
409	32347	46549
410	32429	46474
411	32510	46397
412	32588	46318
413	32669	46242
414	32752	46168
415	32835	46095
416	32916	46020
417	32995	45940
418	33074	45861
419	33150	45779
420	33226	45696
421	33301	45611
422	33377	45529
423	33453	45446
424	33532	45367
425	33608	45284
426	33691	45211
427	33780	45146
428	33856	45063
429	33932	44980
430	34007	44896
431	34084	44814
432	34159	44730
433	34235	44647
434	34310	44564
435	34386	44481
436	34463	44400
437	34539	44317
438	34617	44237
439	34693	44155
440	34768	44071
441	34845	43990
442	34921	43908
443	34996	43824
444	35074	43744
445	35150	43662
446	35226	43580
447	35306	43502
448	35384	43422
449	35460	43340
450	35536	43258
451	35614	43178
452	35690	43096
453	35766	43013
454	35856	42949
455	35933	42867
456	36008	42784
457	36084	42702
458	36159	42619
459	36235	42537
460	36311	42455
461	36387	42373
462	36463	42291
463	36539	42209
464	36615	42127
465	36691	42045
466	36767	41963
467	36847	41886
468	36925	41806
469	37003	41726
470	37079	41645
471	37155	41563
472	37234	41485
473	37318	41412
474	37399	41335
475	37476	41255
476	37552	41174
477	37628	41091
478	37705	41011
479	37780	40928
480	37855	40846
481	37930	40763
482	38007	40682
483	38083	40600
484	38161	40522
485	38239	40442
486	38315	40360
487	38396	40285
488	38477	40208
489	38557	40131
490	38644	40061
491	38725	39984
492	38804	39906
493	38892	39837
494	38972	39759
495	39056	39686
496	39134	39607
497	39212	39527
498	39290	39448
499	39368	39368
500	39456	39298
501	39531	39216
502	39615	39143
503	39723	39092
504	39798	39010
505	39873	38928
506	39949	38845
507	40025	38764
508	40104	38686
509	40182	38606
510	40259	38526
511	40338	38448
512	40414	38365
513	40488	38283
514	40565	38202
515	40646	38126
516	40726	38048
517	40801	37966
518	40877	37884
519	40952	37802
520	41031	37724
521	41110	37645
522	41187	37564
523	41262	37483
524	41340	37403
525	41418	37323
526	41493	37241
527	41569	37160
528	41645	37079
529	41721	36998
530	41797	36917
531	41886	36847
532	41964	36768
533	42040	36687
534	42117	36606
535	42192	36525
536	42270	36445
537	42348	36366
538	42424	36285
539	42502	36206
540	42577	36124
541	42653	36043
542	42728	35961
543	42804	35880
544	42880	35799
545	42956	35718
546	43032	35637
547	43108	35556
548	43185	35476
549	43265	35399
550	43345	35321
551	43430	35248
552	43514	35173
553	43591	35093
554	43671	35015
555	43750	34937
556	43828	34858
557	43905	34778
558	43985	34700
559	44062	34620
560	44141	34542
561	44220	34463
562	44302	34387
563	44392	34317
564	44474	34241
565	44558	34166
566	44642	34092
567	44721	34013
568	44801	33936
569	44879	33856
570	44955	33776
571	45031	33695
572	45111	33617
573	45191	33539
574	45271	33461
575	45352	33384
576	45429	33304
577	45505	33224
578	45582	33143
579	45657	33062
580	45734	32982
581	45812	32902
582	45889	32823
583	45969	32745
584	46046	32665
585	46121	32584
586	46203	32507
587	46287	32433
588	46371	32357
589	46451	32279
590	46529	32200
591	46605	32119
592	46684	32041
593	46763	31963
594	46840	31882
595	46922	31806
596	47001	31727
597	47078	31648
598	47154	31567
599	47230	31487
600	47316	31412
601	47398	31336
602	47479	31259
603	47563	31183
604	47650	31110
605	47733	31034
606	47821	30961
607	47904	30885
608	47987	30809
609	48071	30734
610	48152	30656
611	48234	30580
612	48320	30505
613	48403	30429
614	48482	30351
615	48561	30272
616	48652	30200
617	48731	30121
618	48813	30045
619	48896	29968
620	48979	29892
621	49065	29817
622	49149	29742
623	49233	29666
624	49313	29588
625	49391	29508
626	49473	29431
627	49555	29354
628	49634	29275
629	49721	29201
630	49801	29123
631	49882	29045
632	49963	28967
633	50047	28891
634	50125	28812
635	50203	28732
636	50284	28655
637	50367	28578
638	50446	28499
639	50524	28420
640	50605	28342
641	50690	28266
642	50775	28191
643	50857	28113
644	50938	28036
645	51020	27958
646	51102	27881
647	51182	27802
648	51260	27723
649	51340	27644
650	51419	27566
651	51495	27485
652	51573	27405
653	51654	27328
654	51734	27249
655	51811	27169
656	51889	27090
657	51966	27010
658	52048	26932
659	52139	26859
660	52221	26782
661	52305	26705
662	52386	26628
663	52463	26547
664	52542	26468
665	52621	26389
666	52698	26309
667	52777	26230
668	52854	26150
669	52934	26072
670	53015	25994
671	53099	25917
672	53183	25841
673	53266	25763
674	53348	25686
675	53430	25608
676	53515	25532
677	53600	25456
678	53682	25378
679	53766	25302
680	53850	25225
681	53931	25147
682	54013	25069
683	54095	24991
684	54180	24914
685	54263	24837
686	54354	24763
687	54436	24686
688	54519	24608
689	54605	24532
690	54687	24454
691	54766	24376
692	54847	24297
693	54929	24219
694	55018	24144
695	55106	24069
696	55203	23997
697	55288	23921
698	55371	23843
699	55451	23764
700	55529	23685
701	55608	23605
702	55685	23525
703	55767	23447
704	55851	23370
705	55938	23294
706	56023	23217
707	56104	23138
708	56185	23060
709	56268	22982
710	56350	22904
711	56431	22826
712	56518	22750
713	56598	22671
714	56687	22595
715	56770	22517
716	56860	22443
717	56946	22366
718	57026	22287
719	57107	22208
720	57187	22129
721	57267	22050
722	57349	21971
723	57432	21894
724	57511	21814
725	57589	21734
726	57667	21654
727	57745	21575
728	57824	21495
729	57903	21416
730	57982	21336
731	58063	21258
732	58143	21179
733	58223	21100
734	58301	21020
735	58381	20941
736	58463	20862
737	58544	20784
738	58624	20705
739	58706	20626
740	58788	20548
741	58875	20471
742	58957	20393
743	59040	20315
744	59128	20238
745	59209	20159
746	59293	20081
747	59375	20003
748	59463	19926
749	59545	19848
750	59627	19770
751	59706	19690
752	59787	19611
753	59870	19533
754	59948	19453
755	60026	19373
756	60107	19294
757	60190	19216
758	60268	19136
759	60346	19056
760	60422	18976
761	60500	18896
762	60579	18817
763	60657	18737
764	60736	18657
765	60815	18578
766	60892	18498
767	60968	18417
768	61046	18337
769	61126	18258
770	61209	18180
771	61285	18099
772	61362	18019
773	61437	17939
774	61513	17858
775	61590	17778
776	61667	17698
777	61743	17618
778	61818	17537
779	61897	17458
780	61978	17379
781	62056	17299
782	62135	17220
783	62211	17139
784	62288	17060
785	62366	16980
786	62446	16900
787	62524	16821
788	62605	16742
789	62683	16662
790	62762	16583
791	62840	16503
792	62918	16423
793	62996	16344
794	63072	16263
795	63148	16183
796	63226	16104
797	63304	16024
798	63383	15945
799	63459	15864
800	63538	15785
801	63617	15706
802	63696	15626
803	63774	15547
804	63855	15468
805	63934	15388
806	64013	15309
807	64092	15229
808	64168	15149
809	64244	15069
810	64319	14989
811	64394	14909
812	64471	14829
813	64550	14749
814	64627	14670
815	64701	14589
816	64775	14509
817	64850	14428
818	64927	14348
819	65000	14268
820	65076	14188
821	65152	14108
822	65226	14028
823	65301	13947
824	65378	13868
825	65452	13787
826	65526	13707
827	65603	13627
828	65676	13547
829	65750	13466
830	65825	13386
831	65900	13306
832	65980	13227
833	66057	13148
834	66134	13068
835	66212	12989
836	66295	12910
837	66371	12830
838	66446	12750
839	66521	12670
840	66598	12591
841	66675	12511
842	66749	12431
843	66824	12351
844	66900	12271
845	66978	12192
846	67056	12112
847	67136	12033
848	67215	11954
849	67292	11875
850	67369	11795
851	67447	11716
852	67523	11636
853	67599	11556
854	67677	11477
855	67753	11397
856	67832	11318
857	67907	11238
858	67983	11159
859	68057	11079
860	68133	10999
861	68210	10920
862	68289	10840
863	68363	10760
864	68437	10681
865	68512	10601
866	68585	10521
867	68659	10441
868	68735	10361
869	68812	10282
870	68889	10202
871	68965	10123
872	69038	10043
873	69112	9963
874	69186	9883
875	69261	9804
876	69337	9724
877	69412	9645
878	69487	9565
879	69563	9485
880	69637	9406
881	69713	9326
882	69786	9246
883	69859	9167
884	69933	9087
885	70006	9007
886	70083	8928
887	70158	8848
888	70233	8769
889	70310	8690
890	70384	8610
891	70457	8530
892	70531	8451
893	70605	8371
894	70681	8292
895	70755	8212
896	70832	8133
897	70908	8054
898	70984	7974
899	71060	7895
900	71137	7816
901	71213	7737
902	71292	7658
903	71369	7579
904	71448	7500
905	71524	7420
906	71599	7341
907	71675	7262
908	71750	7182
909	71828	7103
910	71912	7025
911	71987	6946
912	72063	6866
913	72138	6787
914	72214	6708
915	72289	6629
916	72364	6549
917	72439	6470
918	72514	6391
919	72590	6312
920	72668	6233
921	72744	6154
922	72821	6075
923	72900	5996
924	72977	5917
925	73052	5837
926	73132	5759
927	73210	5680
928	73286	5601
929	73362	5521
930	73440	5442
931	73516	5363
932	73589	5284
933	73663	5205
934	73738	5126
935	73811	5046
936	73884	4967
937	73958	4888
938	74035	4809
939	74108	4730
940	74182	4651
941	74260	4572
942	74339	4493
943	74425	4415
944	74501	4336
945	74577	4257
946	74652	4177
947	74728	4099
948	74807	4020
949	74887	3941
950	74973	3863
951	75055	3784
952	75137	3705
953	75215	3626
954	75298	3548
955	75379	3469
956	75455	3390
957	75533	3311
958	75616	3232
959	75696	3154
960	75774	3075
961	75851	2996
962	75928	2917
963	76003	2838
964	76078	2759
965	76152	2680
966	76228	2601
967	76306	2522
968	76381	2443
969	76457	2364
970	76532	2285
971	76610	2206
972	76690	2128
973	76770	2049
974	76846	1970
975	76924	1891
976	77000	1812
977	77080	1733
978	77159	1655
979	77237	1576
980	77317	1497
981	77392	1418
982	77467	1339
983	77545	1260
984	77621	1182
985	77698	1103
986	77777	1024
987	77857	945
988	77935	866
989	78017	788
990	78096	709
991	78177	630
992	78255	551
993	78332	472
994	78410	394
995	78494	315
996	78569	236
997	78645	157
998	78718	78
999	78796	0
