iter	Passed	Remaining
0	63	63197
1	109	54682
2	154	51408
3	199	49653
4	245	48807
5	290	48135
6	336	47671
7	382	47388
8	427	47089
9	472	46785
10	517	46532
11	562	46299
12	610	46368
13	656	46207
14	702	46144
15	748	46021
16	794	45942
17	840	45861
18	889	45905
19	935	45816
20	981	45737
21	1025	45606
22	1071	45535
23	1117	45427
24	1162	45341
25	1207	45221
26	1252	45146
27	1298	45063
28	1343	44991
29	1388	44909
30	1434	44836
31	1480	44782
32	1526	44725
33	1585	45035
34	1633	45051
35	1682	45058
36	1728	44983
37	1773	44903
38	1819	44841
39	1864	44755
40	1910	44679
41	1955	44600
42	2001	44534
43	2046	44460
44	2091	44379
45	2136	44310
46	2181	44233
47	2227	44173
48	2273	44122
49	2319	44064
50	2364	43997
51	2410	43941
52	2455	43881
53	2501	43828
54	2546	43759
55	2592	43695
56	2637	43627
57	2681	43559
58	2727	43507
59	2772	43442
60	2817	43377
61	2864	43332
62	2909	43274
63	2955	43220
64	3006	43241
65	3051	43182
66	3097	43127
67	3142	43065
68	3187	43012
69	3233	42955
70	3278	42899
71	3325	42856
72	3371	42814
73	3416	42749
74	3461	42686
75	3505	42620
76	3551	42569
77	3596	42511
78	3642	42465
79	3687	42403
80	3733	42362
81	3780	42318
82	3825	42265
83	3870	42210
84	3916	42162
85	3962	42110
86	4007	42055
87	4064	42124
88	4109	42069
89	4155	42011
90	4201	41969
91	4246	41914
92	4292	41865
93	4353	41961
94	4398	41903
95	4445	41858
96	4490	41807
97	4535	41748
98	4582	41701
99	4627	41644
100	4673	41597
101	4719	41547
102	4764	41493
103	4812	41459
104	4857	41405
105	4902	41349
106	4948	41299
107	4993	41241
108	5039	41196
109	5085	41148
110	5131	41097
111	5177	41046
112	5222	40992
113	5267	40940
114	5312	40885
115	5358	40834
116	5403	40784
117	5449	40730
118	5495	40685
119	5540	40632
120	5585	40578
121	5630	40524
122	5676	40474
123	5722	40427
124	5767	40373
125	5813	40324
126	5858	40271
127	5903	40216
128	5949	40168
129	5995	40120
130	6040	40070
131	6086	40023
132	6131	39970
133	6177	39921
134	6222	39871
135	6267	39818
136	6314	39774
137	6360	39731
138	6406	39683
139	6453	39643
140	6498	39590
141	6543	39538
142	6590	39498
143	6635	39443
144	6680	39390
145	6726	39344
146	6771	39292
147	6819	39256
148	6865	39212
149	6911	39164
150	6956	39113
151	7002	39064
152	7047	39015
153	7093	38968
154	7139	38920
155	7184	38869
156	7229	38817
157	7274	38768
158	7320	38718
159	7365	38670
160	7411	38620
161	7456	38572
162	7502	38523
163	7547	38473
164	7593	38426
165	7638	38378
166	7683	38327
167	7729	38280
168	7775	38232
169	7820	38181
170	7866	38135
171	7912	38090
172	7957	38038
173	8003	37991
174	8048	37943
175	8094	37895
176	8139	37846
177	8185	37800
178	8231	37755
179	8276	37705
180	8322	37656
181	8368	37610
182	8413	37563
183	8459	37515
184	8505	37468
185	8550	37419
186	8596	37374
187	8642	37327
188	8687	37277
189	8733	37232
190	8779	37185
191	8824	37136
192	8870	37089
193	8917	37048
194	8963	37002
195	9008	36954
196	9054	36909
197	9100	36861
198	9146	36814
199	9192	36768
200	9237	36719
201	9282	36670
202	9330	36632
203	9377	36588
204	9422	36539
205	9467	36491
206	9512	36442
207	9558	36395
208	9604	36348
209	9649	36301
210	9695	36254
211	9741	36209
212	9788	36167
213	9834	36119
214	9879	36070
215	9925	36024
216	9970	35975
217	10016	35930
218	10062	35883
219	10107	35834
220	10160	35813
221	10205	35765
222	10250	35716
223	10297	35674
224	10343	35626
225	10394	35597
226	10440	35552
227	10485	35503
228	10530	35454
229	10575	35405
230	10621	35357
231	10665	35307
232	10711	35260
233	10757	35214
234	10802	35166
235	10847	35116
236	10893	35069
237	10939	35024
238	10985	34978
239	11030	34930
240	11075	34880
241	11120	34832
242	11165	34783
243	11210	34734
244	11255	34686
245	11301	34639
246	11348	34595
247	11393	34548
248	11438	34500
249	11484	34453
250	11529	34405
251	11575	34358
252	11620	34309
253	11665	34261
254	11712	34219
255	11757	34169
256	11803	34124
257	11848	34077
258	11894	34030
259	11940	33983
260	11986	33940
261	12031	33891
262	12076	33842
263	12121	33793
264	12166	33744
265	12213	33700
266	12258	33653
267	12303	33605
268	12348	33557
269	12393	33509
270	12439	33461
271	12484	33413
272	12529	33366
273	12576	33321
274	12621	33274
275	12668	33230
276	12713	33182
277	12758	33135
278	12803	33088
279	12849	33041
280	12896	32997
281	12941	32951
282	12988	32908
283	13034	32862
284	13082	32820
285	13127	32773
286	13172	32725
287	13217	32677
288	13263	32629
289	13308	32582
290	13354	32537
291	13400	32490
292	13445	32442
293	13490	32396
294	13536	32349
295	13582	32304
296	13628	32258
297	13673	32210
298	13719	32164
299	13779	32153
300	13826	32107
301	13871	32060
302	13916	32012
303	13961	31965
304	14008	31920
305	14054	31876
306	14099	31828
307	14145	31780
308	14192	31737
309	14260	31740
310	14305	31693
311	14351	31647
312	14396	31598
313	14441	31550
314	14486	31502
315	14531	31454
316	14577	31408
317	14623	31362
318	14668	31315
319	14713	31266
320	14759	31219
321	14804	31172
322	14850	31125
323	14895	31078
324	14942	31035
325	14988	30987
326	15034	30943
327	15081	30899
328	15126	30850
329	15172	30803
330	15217	30757
331	15262	30709
332	15308	30663
333	15354	30616
334	15399	30569
335	15444	30521
336	15489	30473
337	15534	30425
338	15579	30377
339	15625	30331
340	15670	30284
341	15715	30235
342	15760	30189
343	15806	30142
344	15852	30097
345	15897	30049
346	15942	30001
347	15989	29956
348	16034	29908
349	16079	29861
350	16125	29816
351	16170	29768
352	16215	29721
353	16261	29675
354	16307	29628
355	16352	29581
356	16397	29533
357	16442	29485
358	16488	29440
359	16539	29403
360	16584	29356
361	16629	29309
362	16674	29261
363	16720	29214
364	16765	29167
365	16811	29121
366	16859	29078
367	16904	29031
368	16949	28984
369	16995	28938
370	17041	28891
371	17086	28845
372	17133	28800
373	17178	28753
374	17224	28707
375	17269	28659
376	17315	28613
377	17360	28567
378	17406	28520
379	17452	28474
380	17497	28427
381	17543	28381
382	17588	28334
383	17633	28287
384	17679	28240
385	17725	28194
386	17770	28147
387	17815	28100
388	17860	28053
389	17906	28007
390	17951	27959
391	17996	27912
392	18041	27865
393	18087	27819
394	18133	27773
395	18178	27727
396	18229	27687
397	18274	27641
398	18320	27595
399	18365	27548
400	18410	27501
401	18455	27454
402	18500	27406
403	18546	27360
404	18591	27313
405	18637	27267
406	18682	27220
407	18728	27175
408	18773	27128
409	18820	27082
410	18866	27037
411	18912	26991
412	18957	26943
413	19002	26896
414	19047	26849
415	19093	26804
416	19138	26757
417	19184	26711
418	19230	26665
419	19275	26618
420	19321	26573
421	19367	26526
422	19420	26491
423	19466	26445
424	19513	26399
425	19558	26353
426	19605	26308
427	19650	26261
428	19695	26214
429	19740	26167
430	19786	26121
431	19833	26077
432	19879	26031
433	19924	25984
434	19970	25938
435	20015	25891
436	20060	25845
437	20106	25798
438	20151	25752
439	20197	25706
440	20244	25661
441	20289	25614
442	20335	25568
443	20380	25521
444	20426	25475
445	20472	25429
446	20517	25382
447	20563	25336
448	20608	25290
449	20654	25243
450	20699	25197
451	20744	25150
452	20790	25105
453	20836	25058
454	20881	25011
455	20927	24965
456	20971	24918
457	21017	24871
458	21062	24825
459	21106	24777
460	21152	24731
461	21198	24685
462	21244	24640
463	21290	24593
464	21335	24547
465	21380	24500
466	21437	24466
467	21482	24420
468	21527	24373
469	21572	24326
470	21618	24280
471	21664	24235
472	21709	24188
473	21755	24142
474	21802	24097
475	21847	24051
476	21893	24004
477	21939	23958
478	21984	23912
479	22029	23865
480	22075	23819
481	22120	23773
482	22166	23726
483	22211	23680
484	22258	23635
485	22303	23588
486	22348	23541
487	22393	23495
488	22438	23448
489	22484	23402
490	22530	23356
491	22575	23309
492	22621	23263
493	22666	23217
494	22720	23179
495	22765	23132
496	22810	23086
497	22855	23039
498	22900	22992
499	22946	22946
500	22991	22899
501	23036	22852
502	23082	22807
503	23128	22761
504	23174	22715
505	23220	22669
506	23265	22622
507	23312	22577
508	23357	22531
509	23402	22485
510	23447	22438
511	23492	22391
512	23539	22346
513	23585	22300
514	23630	22254
515	23675	22207
516	23721	22161
517	23767	22115
518	23814	22071
519	23860	22025
520	23906	21979
521	23952	21933
522	23997	21887
523	24042	21840
524	24088	21794
525	24134	21748
526	24178	21701
527	24224	21655
528	24269	21608
529	24317	21564
530	24361	21517
531	24408	21472
532	24453	21425
533	24499	21379
534	24545	21333
535	24590	21287
536	24635	21240
537	24683	21196
538	24727	21149
539	24773	21103
540	24819	21057
541	24864	21011
542	24911	20965
543	24958	20920
544	25008	20878
545	25057	20835
546	25104	20790
547	25149	20743
548	25195	20697
549	25241	20652
550	25290	20608
551	25340	20565
552	25391	20524
553	25443	20483
554	25496	20443
555	25547	20401
556	25597	20358
557	25644	20313
558	25690	20267
559	25738	20223
560	25786	20178
561	25834	20134
562	25880	20088
563	25926	20042
564	25974	19997
565	26020	19952
566	26067	19906
567	26113	19861
568	26159	19815
569	26208	19771
570	26257	19727
571	26309	19685
572	26357	19641
573	26403	19595
574	26450	19550
575	26496	19504
576	26542	19458
577	26591	19414
578	26638	19368
579	26686	19324
580	26736	19281
581	26784	19236
582	26832	19192
583	26882	19149
584	26942	19113
585	26996	19072
586	27042	19026
587	27089	18980
588	27135	18935
589	27183	18889
590	27229	18843
591	27278	18799
592	27328	18756
593	27379	18713
594	27429	18670
595	27477	18625
596	27523	18579
597	27569	18533
598	27615	18486
599	27660	18440
600	27705	18393
601	27752	18348
602	27802	18304
603	27852	18260
604	27900	18215
605	27945	18169
606	27991	18123
607	28037	18077
608	28087	18032
609	28133	17987
610	28180	17941
611	28228	17896
612	28278	17852
613	28327	17808
614	28373	17762
615	28426	17720
616	28488	17684
617	28540	17641
618	28590	17597
619	28638	17552
620	28686	17507
621	28735	17463
622	28782	17417
623	28828	17371
624	28873	17324
625	28919	17277
626	28964	17230
627	29010	17184
628	29056	17138
629	29101	17091
630	29147	17045
631	29192	16998
632	29238	16951
633	29284	16905
634	29329	16858
635	29374	16811
636	29419	16764
637	29468	16720
638	29517	16675
639	29567	16631
640	29616	16587
641	29662	16540
642	29708	16494
643	29753	16447
644	29799	16401
645	29845	16354
646	29891	16308
647	29937	16262
648	29982	16215
649	30028	16169
650	30073	16122
651	30119	16075
652	30164	16029
653	30211	15983
654	30257	15936
655	30302	15890
656	30348	15844
657	30394	15797
658	30440	15751
659	30486	15704
660	30532	15658
661	30578	15612
662	30623	15565
663	30669	15519
664	30714	15472
665	30761	15426
666	30807	15380
667	30852	15333
668	30897	15287
669	30943	15240
670	30988	15194
671	31033	15147
672	31079	15100
673	31124	15054
674	31170	15007
675	31216	14961
676	31262	14915
677	31309	14869
678	31355	14823
679	31401	14777
680	31448	14731
681	31493	14684
682	31538	14637
683	31584	14591
684	31629	14545
685	31674	14498
686	31720	14451
687	31765	14405
688	31811	14359
689	31862	14315
690	31912	14270
691	31961	14225
692	32008	14179
693	32054	14133
694	32099	14086
695	32145	14040
696	32191	13994
697	32237	13947
698	32285	13902
699	32331	13856
700	32376	13809
701	32423	13763
702	32468	13717
703	32515	13671
704	32561	13625
705	32607	13578
706	32653	13532
707	32698	13485
708	32747	13440
709	32796	13395
710	32846	13350
711	32896	13306
712	32943	13260
713	32989	13214
714	33037	13168
715	33084	13122
716	33129	13076
717	33176	13030
718	33222	12984
719	33272	12939
720	33322	12894
721	33370	12849
722	33416	12802
723	33462	12756
724	33509	12710
725	33554	12663
726	33600	12617
727	33645	12570
728	33690	12524
729	33735	12477
730	33782	12431
731	33827	12385
732	33874	12338
733	33919	12292
734	33966	12246
735	34012	12200
736	34057	12153
737	34104	12107
738	34150	12061
739	34196	12014
740	34241	11968
741	34292	11923
742	34342	11878
743	34392	11833
744	34440	11788
745	34486	11742
746	34532	11695
747	34577	11649
748	34623	11602
749	34669	11556
750	34718	11511
751	34766	11465
752	34815	11420
753	34864	11374
754	34913	11329
755	34962	11284
756	35007	11237
757	35052	11191
758	35098	11144
759	35143	11098
760	35188	11051
761	35237	11005
762	35282	10959
763	35328	10912
764	35378	10867
765	35428	10822
766	35477	10777
767	35524	10731
768	35570	10684
769	35615	10638
770	35661	10592
771	35707	10545
772	35752	10499
773	35798	10452
774	35847	10407
775	35897	10362
776	35946	10316
777	35996	10271
778	36042	10225
779	36088	10178
780	36133	10132
781	36180	10086
782	36225	10039
783	36272	9993
784	36320	9947
785	36368	9901
786	36416	9856
787	36465	9810
788	36526	9768
789	36574	9722
790	36620	9675
791	36666	9629
792	36712	9583
793	36758	9536
794	36804	9490
795	36850	9444
796	36896	9397
797	36942	9351
798	36988	9304
799	37034	9258
800	37081	9212
801	37127	9166
802	37173	9119
803	37219	9073
804	37265	9027
805	37312	8980
806	37357	8934
807	37404	8888
808	37450	8841
809	37496	8795
810	37542	8749
811	37588	8702
812	37634	8656
813	37679	8609
814	37724	8563
815	37770	8516
816	37816	8470
817	37862	8424
818	37907	8377
819	37954	8331
820	38000	8285
821	38046	8238
822	38091	8192
823	38136	8145
824	38181	8099
825	38227	8052
826	38273	8006
827	38319	7960
828	38365	7913
829	38410	7867
830	38456	7820
831	38501	7774
832	38546	7727
833	38591	7681
834	38637	7634
835	38683	7588
836	38727	7541
837	38774	7495
838	38819	7449
839	38864	7402
840	38909	7356
841	38955	7309
842	39000	7263
843	39045	7216
844	39091	7170
845	39136	7124
846	39182	7077
847	39227	7031
848	39273	6985
849	39318	6938
850	39363	6892
851	39412	6846
852	39457	6799
853	39502	6753
854	39547	6706
855	39593	6660
856	39638	6614
857	39684	6567
858	39729	6521
859	39775	6475
860	39821	6428
861	39867	6382
862	39913	6336
863	39958	6289
864	40004	6243
865	40050	6197
866	40095	6150
867	40140	6104
868	40186	6057
869	40231	6011
870	40277	5965
871	40322	5918
872	40368	5872
873	40413	5826
874	40459	5779
875	40505	5733
876	40551	5687
877	40596	5640
878	40641	5594
879	40686	5548
880	40732	5501
881	40777	5455
882	40823	5409
883	40869	5362
884	40915	5316
885	40962	5270
886	41007	5224
887	41053	5177
888	41098	5131
889	41144	5085
890	41189	5038
891	41235	4992
892	41281	4946
893	41326	4899
894	41370	4853
895	41416	4807
896	41461	4760
897	41507	4714
898	41554	4668
899	41600	4622
900	41646	4576
901	41692	4529
902	41738	4483
903	41784	4437
904	41830	4391
905	41875	4344
906	41922	4298
907	41967	4252
908	42013	4205
909	42060	4159
910	42105	4113
911	42151	4067
912	42197	4020
913	42243	3974
914	42287	3928
915	42333	3882
916	42378	3835
917	42423	3789
918	42469	3743
919	42515	3697
920	42562	3650
921	42608	3604
922	42654	3558
923	42700	3512
924	42745	3465
925	42792	3419
926	42838	3373
927	42883	3327
928	42928	3280
929	42973	3234
930	43019	3188
931	43065	3142
932	43110	3095
933	43164	3050
934	43210	3003
935	43262	2958
936	43307	2911
937	43354	2865
938	43403	2819
939	43448	2773
940	43493	2727
941	43539	2680
942	43584	2634
943	43630	2588
944	43676	2542
945	43721	2495
946	43767	2449
947	43812	2403
948	43858	2357
949	43905	2310
950	43950	2264
951	43996	2218
952	44041	2172
953	44086	2125
954	44131	2079
955	44177	2033
956	44222	1987
957	44268	1940
958	44314	1894
959	44359	1848
960	44405	1802
961	44452	1755
962	44497	1709
963	44543	1663
964	44589	1617
965	44635	1571
966	44681	1524
967	44727	1478
968	44772	1432
969	44817	1386
970	44863	1339
971	44908	1293
972	44954	1247
973	44999	1201
974	45044	1154
975	45089	1108
976	45135	1062
977	45180	1016
978	45226	970
979	45272	923
980	45317	877
981	45363	831
982	45408	785
983	45454	739
984	45499	692
985	45545	646
986	45592	600
987	45638	554
988	45683	508
989	45730	461
990	45776	415
991	45822	369
992	45868	323
993	45913	277
994	45958	230
995	46003	184
996	46049	138
997	46094	92
998	46139	46
999	46184	0
