iter	MultiClassOneVsAll
0	0.6914974119
1	0.6893691674
2	0.6874761899
3	0.6855052463
4	0.6837233825
5	0.6820657624
6	0.6801848468
7	0.6784229947
8	0.6768158761
9	0.6747743561
10	0.6729363105
11	0.671668625
12	0.66988549
13	0.6681903953
14	0.6661220645
15	0.6642789437
16	0.6625910263
17	0.661015827
18	0.6594807131
19	0.6576853852
20	0.6558543288
21	0.6545056892
22	0.6530136549
23	0.6512135393
24	0.6499919188
25	0.6484458228
26	0.6471844248
27	0.6454542568
28	0.643954275
29	0.6424585407
30	0.6409744413
31	0.6398878738
32	0.6385281515
33	0.6369789279
34	0.6355685387
35	0.633945949
36	0.6322904171
37	0.6307297049
38	0.6295386969
39	0.6277419715
40	0.6262868198
41	0.625045154
42	0.623725306
43	0.6222210919
44	0.620779592
45	0.61958103
46	0.618190661
47	0.6169034458
48	0.6151630226
49	0.6137228082
50	0.6125646308
51	0.6112686488
52	0.609799448
53	0.6085317952
54	0.6074368386
55	0.6062647139
56	0.6053214526
57	0.6040915555
58	0.6026850913
59	0.6014111123
60	0.6005181444
61	0.599217151
62	0.5983551853
63	0.597110841
64	0.5960534025
65	0.5948418991
66	0.5937195073
67	0.5925652692
68	0.5914012902
69	0.5901548329
70	0.5891518372
71	0.5881511783
72	0.5871405066
73	0.5857439164
74	0.5845922324
75	0.5835538531
76	0.5825984435
77	0.5812075126
78	0.5802983474
79	0.5791580028
80	0.5781564376
81	0.5772009582
82	0.5760384776
83	0.5748899245
84	0.5737978946
85	0.5726581006
86	0.5714715396
87	0.5704391773
88	0.5694309153
89	0.5685403432
90	0.5674522738
91	0.566593421
92	0.565600366
93	0.5647627777
94	0.5637278722
95	0.5624142939
96	0.5613362067
97	0.5604180519
98	0.5595161986
99	0.5587829243
100	0.5577138367
101	0.556683728
102	0.5557866218
103	0.5546633386
104	0.5538403185
105	0.5525334602
106	0.5516856342
107	0.5507330953
108	0.5498912204
109	0.5486444234
110	0.547587021
111	0.546718399
112	0.5459040747
113	0.5450939177
114	0.5442429129
115	0.5433417138
116	0.5425395393
117	0.5416908789
118	0.5408581909
119	0.5401300322
120	0.5394712476
121	0.5385910723
122	0.5377081976
123	0.5366592578
124	0.5356995933
125	0.5350051145
126	0.5343142413
127	0.5335721089
128	0.5328967234
129	0.5319405535
130	0.5311309881
131	0.5302447661
132	0.5294263846
133	0.5287183451
134	0.5280106052
135	0.5273440202
136	0.526594076
137	0.5258834196
138	0.5251849386
139	0.5244905225
140	0.5235749771
141	0.5227280091
142	0.5218426636
143	0.521212855
144	0.5205199282
145	0.5196271907
146	0.5189853727
147	0.5181646539
148	0.517351328
149	0.5164120021
150	0.5157484067
151	0.5150549991
152	0.514416246
153	0.5138052272
154	0.5132280901
155	0.5124983985
156	0.5118369838
157	0.511168892
158	0.5103716275
159	0.5095098594
160	0.5088407862
161	0.5081970382
162	0.5076070592
163	0.5069003597
164	0.5062176623
165	0.505525822
166	0.5047781414
167	0.5041469204
168	0.5034536716
169	0.5027816048
170	0.5021555131
171	0.5016255169
172	0.5008694038
173	0.500411638
174	0.4997562003
175	0.4992225829
176	0.4985999963
177	0.4979842333
178	0.4974131379
179	0.4967151778
180	0.4961579022
181	0.4954241144
182	0.4947823527
183	0.4942718274
184	0.4935734747
185	0.4929037917
186	0.4923299776
187	0.4916167107
188	0.4911377945
189	0.4903901148
190	0.4896545646
191	0.4891526955
192	0.4883469517
193	0.4878161392
194	0.4871149042
195	0.4864401169
196	0.4856226106
197	0.4850191841
198	0.4843124534
199	0.4835138476
200	0.4829403583
201	0.4822798294
202	0.4817099884
203	0.4810558101
204	0.4803937566
205	0.4798166253
206	0.4793255394
207	0.4785503588
208	0.4779738237
209	0.4771575382
210	0.4764343924
211	0.4758555849
212	0.4753629262
213	0.4746829249
214	0.4741369037
215	0.4733112832
216	0.4727612101
217	0.4721634805
218	0.4716169919
219	0.4711016771
220	0.4706071835
221	0.4701773759
222	0.4697578298
223	0.4693087544
224	0.4687737681
225	0.4682262469
226	0.467798556
227	0.4671814067
228	0.466673894
229	0.4660154684
230	0.4655518508
231	0.4651147785
232	0.464526054
233	0.4638370433
234	0.4633861431
235	0.4628535703
236	0.4623282344
237	0.4618377726
238	0.4613240277
239	0.4608968547
240	0.4601991476
241	0.4596260902
242	0.4592012936
243	0.4587743816
244	0.4582984772
245	0.457781225
246	0.4572345645
247	0.4565993176
