iter	MultiClassOneVsAll
140	0.5176231772
141	0.516918908
142	0.5161753878
143	0.5151818871
144	0.514527774
145	0.5138632621
146	0.5132296663
147	0.5126990416
148	0.5120280107
149	0.5110918626
150	0.5103689351
151	0.5097404173
152	0.5091544201
153	0.508381945
154	0.5075269721
155	0.5068329078
156	0.5062382398
157	0.5052644216
158	0.5046743501
159	0.5039044254
160	0.5031895504
161	0.5027017966
162	0.5020826969
163	0.5014630311
164	0.5007780639
165	0.4999417679
166	0.4993470576
167	0.4984608452
168	0.4977199046
169	0.4970553648
170	0.4963746909
171	0.4957066722
172	0.4950647771
173	0.4941153639
174	0.4935744718
175	0.4928816417
176	0.4921237573
177	0.4913436604
178	0.4906941618
179	0.4901529621
180	0.4893711299
181	0.488739639
182	0.4879940654
183	0.4873472115
184	0.4867534058
185	0.4860748433
186	0.4855051292
187	0.4848695337
188	0.4843364564
189	0.4836971351
190	0.4829423873
191	0.4822812949
192	0.4816271232
193	0.4811239365
194	0.4804530391
195	0.4800129318
196	0.4793081419
197	0.478735893
198	0.4779187326
199	0.4772837638
200	0.4767168596
201	0.4761554118
202	0.4755952734
203	0.4751085311
204	0.4746512511
205	0.4741682298
206	0.4736211064
207	0.4729513678
208	0.4723722023
209	0.4716341104
210	0.4711202106
211	0.4703518255
212	0.4697840658
213	0.4692019759
214	0.4686574546
215	0.4681251638
216	0.4675781037
217	0.4669061918
218	0.4663810995
219	0.4658056135
220	0.4652500655
221	0.4647664759
222	0.4642110608
223	0.4637253968
224	0.4630873229
225	0.4624724018
226	0.4619135406
227	0.4614172778
228	0.4608224436
229	0.4602572675
230	0.4597637177
231	0.45922269
232	0.4586580494
233	0.4580064979
234	0.4574665449
235	0.4568453261
236	0.4564045298
237	0.4558354701
238	0.4553953384
239	0.4549515576
240	0.4543930492
241	0.453872544
242	0.4532226006
243	0.4526377937
244	0.4520385654
245	0.4516189824
246	0.4511212597
247	0.450591967
248	0.4501808265
249	0.4497412628
250	0.4492902661
251	0.4487063134
252	0.4482273787
253	0.4477945293
254	0.4473877573
255	0.4467021146
256	0.4463127446
257	0.4455927848
258	0.4449787293
259	0.444491123
260	0.4440530878
261	0.443590405
262	0.44288261
263	0.4422142139
264	0.4417001111
265	0.4412299889
266	0.4408034782
267	0.4403133965
268	0.4398509151
269	0.4393454574
270	0.4388572415
271	0.4384225755
272	0.4378765333
273	0.4373771937
274	0.4369960768
275	0.4364465492
276	0.4360061281
277	0.435481787
278	0.4349918828
279	0.4344443167
280	0.4338792162
281	0.4334156955
282	0.4328781311
283	0.4324583155
284	0.4320734821
285	0.4315309118
286	0.4310999386
287	0.430738109
288	0.4304456635
289	0.4299376721
290	0.4294273135
291	0.4290670814
292	0.4286779738
293	0.4283030706
294	0.42782466
295	0.4273295662
296	0.4268553749
297	0.4263780068
298	0.4257706696
299	0.4253999911
300	0.4250187465
301	0.4247084177
302	0.4242165665
303	0.4236728227
304	0.4231571675
305	0.4227960128
306	0.4223708335
307	0.4218281091
308	0.4214880169
309	0.4211163697
310	0.4205644376
311	0.4202683602
312	0.4198664958
313	0.4195940749
314	0.4192778773
315	0.4187743457
316	0.4184167272
317	0.4178995761
318	0.417612179
319	0.4171369537
320	0.4166934538
321	0.4162203643
322	0.4158699006
323	0.4154406636
324	0.4148655932
325	0.4143921192
326	0.4138843773
327	0.4135226405
328	0.4130893489
329	0.4127411355
330	0.4122917331
331	0.4119397475
332	0.4115671411
333	0.4111397903
334	0.4107550992
335	0.4103469742
336	0.4098667024
337	0.4096040114
338	0.408972948
339	0.4083895213
340	0.4079786571
341	0.4074136131
342	0.4071323962
343	0.4067163016
344	0.4062683976
345	0.4058406669
346	0.4054643759
347	0.4051181978
348	0.4047017456
349	0.4042949962
350	0.4037857237
351	0.4034237858
352	0.4029891747
353	0.402649087
354	0.4022908266
355	0.4018966577
356	0.4015005743
357	0.4011419737
358	0.4006347716
359	0.4002217839
360	0.3997630942
361	0.399308405
362	0.3986683171
363	0.3982757159
364	0.3977797926
365	0.3974112969
366	0.3969371447
367	0.3966307601
368	0.3961915272
369	0.3958682298
370	0.3954481721
371	0.3950956657
372	0.3945459523
373	0.3939815196
374	0.3935149712
375	0.393104941
376	0.3926957886
377	0.3922895931
378	0.3919335993
379	0.3915164039
380	0.3911765678
381	0.3907745418
382	0.3904458348
383	0.3901505349
384	0.3898186095
385	0.389286438
386	0.3887106728
387	0.388431106
388	0.3879644859
389	0.387512059
390	0.3871145029
391	0.3867249866
392	0.3862476669
393	0.3859298557
394	0.3855988549
395	0.3851962478
396	0.3846475107
397	0.3843100361
398	0.3840594701
399	0.3836546763
400	0.3832131075
401	0.3827567892
402	0.3824568348
403	0.3821210338
404	0.3816883379
405	0.3813189249
406	0.3809791992
407	0.3806282147
408	0.3803584594
409	0.380064603
410	0.3796176545
411	0.3791774152
412	0.3788372901
413	0.3786387519
414	0.3782910208
415	0.3778821533
416	0.3775889759
417	0.3771960676
418	0.3767545108
419	0.3763644341
420	0.3759439812
421	0.375660717
422	0.3751928759
423	0.3747944004
424	0.3744748528
425	0.3742345335
426	0.3739113826
427	0.373572353
428	0.3732478184
429	0.3730285786
430	0.3727240886
431	0.3724403318
432	0.3719465701
433	0.3715002803
434	0.37120472
435	0.3708791454
436	0.370642366
437	0.3701670934
438	0.3696123523
439	0.3692197136
440	0.3688572627
441	0.3685448478
442	0.3681781855
443	0.3678495123
444	0.3675347125
445	0.3672457786
446	0.3667866479
447	0.366365435
448	0.3660499966
449	0.365642275
450	0.3653399969
451	0.3649811853
452	0.3647528182
453	0.3644452874
454	0.3641793875
455	0.3638145954
456	0.3632580202
457	0.3629644727
458	0.3625042864
459	0.3621203859
460	0.361651215
461	0.3613666576
462	0.3610462223
463	0.3606615408
464	0.3602676987
465	0.3599394275
466	0.3596141275
467	0.3592530858
468	0.3588932597
469	0.3585276751
470	0.3581015187
471	0.3578204242
472	0.3574830006
473	0.3571042281
474	0.3567043247
475	0.356352064
476	0.3559338661
477	0.3555920806
478	0.3551702442
479	0.3549589136
480	0.3547128112
481	0.3544574032
482	0.3540976725
483	0.3538324251
