iter	Passed	Remaining
0	60	60784
1	108	54153
2	152	50817
3	197	49202
4	242	48227
5	287	47601
6	332	47190
7	377	46792
8	432	47612
9	477	47249
10	522	46950
11	568	46818
12	613	46558
13	658	46389
14	703	46171
15	747	45987
16	793	45859
17	837	45694
18	882	45578
19	927	45446
20	971	45305
21	1016	45183
22	1061	45108
23	1108	45065
24	1153	45002
25	1198	44900
26	1243	44810
27	1288	44736
28	1333	44635
29	1377	44538
30	1422	44457
31	1467	44377
32	1511	44287
33	1556	44216
34	1600	44128
35	1646	44087
36	1691	44012
37	1736	43956
38	1780	43878
39	1825	43806
40	1869	43729
41	1914	43676
42	1959	43610
43	2004	43552
44	2049	43484
45	2094	43430
46	2138	43357
47	2182	43289
48	2227	43236
49	2272	43179
50	2317	43127
51	2362	43079
52	2408	43029
53	2453	42973
54	2497	42914
55	2542	42855
56	2586	42795
57	2631	42736
58	2676	42683
59	2721	42631
60	2766	42583
61	2811	42528
62	2856	42484
63	2901	42431
64	2946	42380
65	2991	42332
66	3036	42280
67	3080	42227
68	3126	42178
69	3170	42125
70	3215	42070
71	3260	42023
72	3306	41982
73	3350	41931
74	3395	41882
75	3440	41833
76	3485	41781
77	3531	41742
78	3582	41769
79	3626	41706
80	3671	41657
81	3716	41601
82	3761	41555
83	3805	41501
84	3850	41445
85	3894	41391
86	3939	41340
87	3984	41298
88	4030	41255
89	4075	41212
90	4121	41167
91	4165	41113
92	4210	41065
93	4254	41008
94	4299	40956
95	4344	40908
96	4388	40856
97	4433	40808
98	4477	40752
99	4523	40708
100	4567	40656
101	4612	40606
102	4656	40555
103	4701	40504
104	4746	40456
105	4791	40411
106	4836	40366
107	4882	40323
108	4927	40276
109	4972	40228
110	5016	40180
111	5061	40128
112	5106	40080
113	5151	40033
114	5195	39983
115	5240	39936
116	5286	39895
117	5330	39842
118	5375	39798
119	5420	39753
120	5465	39707
121	5511	39662
122	5556	39616
123	5600	39567
124	5645	39518
125	5702	39558
126	5747	39508
127	5791	39456
128	5836	39404
129	5880	39354
130	5925	39309
131	5971	39270
132	6017	39224
133	6062	39177
134	6106	39126
135	6150	39076
136	6196	39032
137	6240	38979
138	6285	38934
139	6330	38889
140	6375	38843
141	6420	38795
142	6465	38745
143	6511	38704
144	6556	38658
145	6600	38610
146	6645	38559
147	6691	38519
148	6737	38480
149	6782	38432
150	6826	38381
151	6871	38333
152	6915	38284
153	6960	38238
154	7004	38187
155	7049	38138
156	7094	38091
157	7139	38047
158	7183	37997
159	7230	37957
160	7275	37914
161	7321	37870
162	7365	37822
163	7410	37772
164	7455	37727
165	7500	37681
166	7544	37634
167	7590	37590
168	7635	37546
169	7681	37504
170	7727	37462
171	7772	37418
172	7818	37375
173	7863	37329
174	7909	37286
175	7954	37240
176	8000	37198
177	8046	37159
178	8091	37114
179	8137	37072
180	8182	37026
181	8227	36979
182	8272	36933
183	8319	36894
184	8364	36850
185	8415	36827
186	8459	36780
187	8505	36736
188	8550	36688
189	8594	36639
190	8638	36590
191	8683	36543
192	8728	36495
193	8773	36449
194	8817	36402
195	8863	36356
196	8907	36309
197	8953	36267
198	8999	36222
199	9052	36210
200	9096	36161
201	9141	36113
202	9186	36066
203	9231	36021
204	9276	35974
205	9321	35927
206	9365	35878
207	9410	35831
208	9469	35840
209	9515	35794
210	9559	35746
211	9603	35697
212	9648	35649
213	9693	35603
214	9738	35558
215	9785	35516
216	9830	35470
217	9880	35443
218	9925	35397
219	9971	35351
220	10015	35304
221	10060	35256
222	10104	35207
223	10149	35159
224	10203	35145
225	10247	35096
226	10292	35049
227	10338	35004
228	10382	34956
229	10427	34908
230	10472	34861
231	10517	34816
232	10562	34771
233	10607	34722
234	10651	34674
235	10696	34626
236	10740	34579
237	10785	34531
238	10830	34486
239	10875	34437
240	10919	34389
241	10963	34340
242	11008	34294
243	11053	34247
244	11098	34202
245	11143	34154
246	11187	34107
247	11232	34060
248	11278	34015
249	11323	33970
250	11368	33923
251	11412	33875
252	11457	33828
253	11503	33785
254	11548	33738
255	11593	33692
256	11636	33642
257	11681	33595
258	11726	33548
259	11771	33502
260	11815	33455
261	11860	33408
262	11905	33361
263	11949	33314
264	11994	33266
265	12039	33221
266	12085	33177
267	12130	33131
268	12174	33083
269	12219	33037
270	12264	32990
271	12308	32943
272	12353	32896
273	12397	32848
274	12442	32803
275	12487	32756
276	12532	32711
277	12576	32663
278	12621	32615
279	12665	32569
280	12710	32522
281	12754	32475
282	12798	32426
283	12843	32379
284	12887	32332
285	12932	32286
286	12976	32238
287	13021	32192
288	13066	32147
289	13111	32099
290	13156	32053
291	13200	32007
292	13245	31961
293	13290	31915
294	13335	31869
295	13380	31823
296	13425	31777
297	13470	31731
298	13516	31688
299	13560	31641
300	13605	31595
301	13649	31548
302	13695	31503
303	13740	31457
304	13785	31412
305	13829	31365
306	13875	31321
307	13920	31276
308	13966	31231
309	14009	31183
310	14054	31137
311	14099	31090
312	14145	31046
313	14189	31000
314	14234	30954
315	14280	30910
316	14325	30865
317	14370	30820
318	14415	30774
319	14460	30727
320	14505	30683
321	14550	30637
322	14595	30592
323	14640	30546
324	14685	30500
325	14730	30454
326	14775	30409
327	14820	30363
328	14864	30317
329	14909	30270
330	14954	30226
331	14999	30180
332	15044	30134
333	15089	30088
334	15134	30043
335	15179	29996
336	15224	29951
337	15267	29903
338	15312	29857
339	15357	29811
340	15402	29765
341	15447	29719
342	15492	29675
343	15537	29629
344	15582	29584
345	15627	29539
346	15672	29493
347	15717	29447
348	15762	29402
349	15807	29356
350	15851	29310
351	15896	29263
352	15943	29221
353	15988	29176
354	16033	29131
355	16078	29085
356	16123	29039
357	16168	28995
358	16213	28950
359	16258	28904
360	16303	28858
361	16348	28812
362	16393	28767
363	16438	28721
364	16482	28675
365	16527	28630
366	16572	28583
367	16617	28538
368	16661	28491
369	16705	28445
370	16751	28400
371	16796	28354
372	16840	28308
373	16885	28262
374	16929	28215
375	16973	28168
376	17019	28125
377	17064	28080
378	17109	28034
379	17155	27991
380	17200	27945
381	17246	27901
382	17291	27856
383	17336	27811
384	17381	27765
385	17426	27719
386	17472	27675
387	17519	27633
388	17565	27590
389	17610	27544
390	17655	27498
391	17699	27451
392	17744	27406
393	17788	27360
394	17833	27314
395	17878	27269
396	17923	27224
397	17968	27178
398	18012	27132
399	18057	27086
400	18102	27041
401	18147	26995
402	18192	26950
403	18237	26905
404	18282	26858
405	18326	26812
406	18371	26767
407	18416	26721
408	18461	26676
409	18506	26630
410	18551	26585
411	18597	26542
412	18644	26499
413	18688	26453
414	18738	26414
415	18783	26368
416	18827	26322
417	18872	26276
418	18916	26230
419	18960	26184
420	19006	26138
421	19051	26093
422	19096	26049
423	19142	26004
424	19187	25959
425	19232	25913
426	19276	25868
427	19323	25824
428	19368	25779
429	19413	25733
430	19457	25688
431	19503	25643
432	19547	25597
433	19592	25551
434	19636	25505
435	19681	25459
436	19726	25414
437	19771	25368
438	19816	25323
439	19861	25278
440	19906	25232
441	19952	25188
442	19997	25143
443	20023	25074
444	20068	25029
445	20113	24983
446	20158	24939
447	20203	24893
448	20249	24850
449	20295	24806
450	20340	24760
451	20385	24714
452	20430	24669
453	20475	24624
454	20520	24580
455	20565	24534
456	20610	24489
457	20657	24446
458	20705	24404
459	20749	24358
460	20795	24313
461	20840	24268
462	20886	24224
463	20930	24178
464	20975	24133
465	21020	24087
466	21065	24042
467	21110	23996
468	21155	23951
469	21201	23907
470	21258	23876
471	21308	23837
472	21356	23794
473	21400	23748
474	21445	23702
475	21492	23659
476	21537	23614
477	21582	23569
478	21627	23523
479	21671	23477
480	21716	23431
481	21760	23385
482	21805	23340
483	21849	23294
484	21898	23252
